year;id_mother;id_lamb;num_siblings;gender;saft;weight_spring;date_spring;weight_fall_I;date_fall_I;weight_fall_II;date_fall_II;weight_slaugther;slaugther_class;;;;;;;;;;;
2002;799;2149;2;S;s;9;37419;28;37522;;;12.3;3;;;;;;;;;;;
2002;1039;2096;1;V;s;21;37419;60;37522;;;23.9;6;;;;;;;;;;;
2002;1044;2095;1;V;s;20;37419;52;37522;;;21.4;5;;;;;;;;;;;
2002;1048;2132;1;V;s;14;37419;43;37522;;;18.4;5;;;;;;;;;;;
2002;1052;2117;2;S;s;14;37419;41;37522;;;17;5;;;;;;;;;;;
2002;1052;2118;2;S;t;;37419;;37522;;;;;;;;;;;;;;;
2002;1056;2106;2;V;s;14;37419;44;37522;;;18;4;;;;;;;;;;;
2002;1056;2107;2;S;s;9;37419;28;37522;;;12;4;;;;;;;;;;;
2002;1068;2137;2;S;s;7;37419;21;37522;;;8;2;;;;;;;;;;;
2002;1068;2138;2;S;s;11;37419;37;37522;;;15.7;5;;;;;;;;;;;
2002;1075;2097;2;V;s;11;37419;40;37522;;;15.2;5;;;;;;;;;;;
2002;1075;2098;2;S;s;12;37419;37;37522;;;14.2;4;;;;;;;;;;;
2002;1081;2150;1;V;s;12;37419;40;37522;;;17.4;5;;;;;;;;;;;
2002;1082;2125;1;V;s;;37419;51;37522;;;20.7;6;;;;;;;;;;;
2003;19;3204;2;S;a;15;37793;42;37891;;;;;;;;;;;;;;;
2003;19;3205;2;S;s;15;37793;40;37891;;;16.3;6;;;;;;;;;;;
2003;22;3208;1;V;s;21.5;37793;56;37891;;;24.8;7;;;;;;;;;;;
2003;26;3171;1;S;a;23;37793;51;37891;;;;;;;;;;;;;;;
2003;32;3196;1;S;a;18;37793;44;37891;;;;;;;;;;;;;;;
2003;524;3215;1;V;f;9;37793;31;37891;;;;;;;;;;;;;;;
2003;554;3163;2;S;a;19;37793;45;37891;;;;;;;;;;;;;;;
2003;554;3164;2;S;s;13;37793;36;37891;;;13.9;5;;;;;;;;;;;
2003;595;3206;2;S;s;14;37793;35;37891;;;15.1;5;;;;;;;;;;;
2003;595;3207;2;S;s;14;37793;36;37891;;;15.4;5;;;;;;;;;;;
2003;609;3161;2;S;a;22;37793;46;37891;;;;;;;;;;;;;;;
2003;609;3162;2;S;s;18;37793;41;37891;;;16.1;5;;;;;;;;;;;
2003;611;3198;2;S;t;16;37793;;37891;;;;;;;;;;;;;;;
2003;611;3199;2;V;s;14;37793;39;37891;;;16.6;4;;;;;;;;;;;
2003;672;3172;3;V;s;10.5;37793;34;37891;;;13.7;4;;;;;;;;;;;
2003;672;3173;3;S;a;18.5;37793;44;37891;;;;;;;;;;;;;;;
2003;672;3174;3;V;f;13;37793;33;37891;;;;;;;;;;;;;;;
2003;682;3165;2;V;s;14;37793;34;37891;;;12.8;4;;;;;;;;;;;
2003;682;3166;2;V;s;17;37793;41;37891;;;17.3;6;;;;;;;;;;;
2003;709;3185;2;S;s;13;37793;37;37891;;;14.4;4;;;;;;;;;;;
2003;709;3186;2;V;s;15;37793;42;37891;;;15.8;4;;;;;;;;;;;
2003;739;3187;2;S;s;14;37793;37;37891;;;14.4;5;;;;;;;;;;;
2003;739;3211;2;V;s;21;37793;50;37891;;;22.2;7;;;;;;;;;;;
2003;758;3159;2;V;s;24;37793;51;37891;;;22.4;7;;;;;;;;;;;
2003;758;3160;2;V;a;24;37793;52;37891;;;;;;;;;;;;;;;
2003;765;3183;2;V;s;21;37793;45;37891;;;20.2;6;;;;;;;;;;;
2003;765;3184;2;V;s;19;37793;47;37891;;;19.1;5;;;;;;;;;;;
2003;1039;3180;3;S;s;14;37793;37;37891;;;14;4;;;;;;;;;;;
2003;1039;3181;3;S;s;16.5;37793;36;37891;;;12.9;4;;;;;;;;;;;
2003;1039;3182;3;V;s;15;37793;39;37891;;;15.1;5;;;;;;;;;;;
2003;1044;3188;2;V;s;17;37793;45;37891;;;18.2;5;;;;;;;;;;;
2003;1044;3189;2;S;a;20;37793;46;37891;;;;;;;;;;;;;;;
2003;1048;3200;2;S;s;16;37793;40;37891;;;16.1;6;;;;;;;;;;;
2003;1048;3201;2;V;t;16;37793; ;37891;;;;;;;;;;;;;;;
2003;1052;3191;2;V;s;24;37793;50;37891;;;20.3;6;;;;;;;;;;;
2003;1052;3192;2;V;s;13;37793;32;37891;;;15.1;5;;;;;;;;;;;
2003;1056;3168;2;S;s;17;37793;34;37891;;;13.5;4;;;;;;;;;;;
2003;1056;3169;2;V;s;19;37793;44;37891;;;17.4;4;;;;;;;;;;;
2003;1075;3167;1;V;s;20;37793;46;37891;;;17.7;5;;;;;;;;;;;
2003;1081;3193;2;S;s;16;37793;40;37891;;;15;4;;;;;;;;;;;
2003;1081;3216;2;S;s;17;37793;42;37891;;;16.7;6;;;;;;;;;;;
2003;1082;3177;3;S;t;10.5;37793;;37891;;;;;;;;;;;;;;;
2003;1082;3178;3;S;t;15;37793;;37891;;;;;;;;;;;;;;;
2003;1082;3179;3;S;s;18.5;37793;41;37891;;;;;;;;;;;;;;;
2003;2102;3209;2;S;f;12;37793;33;37891;;;;;;;;;;;;;;;
2003;2102;3210;2;V;f;10;37793;29;37891;;;;;;;;;;;;;;;
2003;2104;3175;2;S;f;15;37793;31;37891;;;;;;;;;;;;;;;
2003;2104;3176;2;S;s;16.5;37793;42;37891;;;17.7;5;;;;;;;;;;;
2003;2105;3202;2;V;s;14;37793;40;37891;;;16.5;4;;;;;;;;;;;
2003;2105;3203;2;S;f;15;37793;30;37891;;;;;;;;;;;;;;;
2003;2108;3213;1;S;t;8;37793;;37891;;;;;;;;;;;;;;;
2003;2111;3157;1;S;s;13;37793;34;37891;;;12.6;4;;;;;;;;;;;
2003;2113;3190;1;V;s;15;37793;40;37891;;;16.8;5;;;;;;;;;;;
2003;2122;3195;1;V;s;19;37793;49;37891;;;19.4;5;;;;;;;;;;;
2003;2143;3212;1;S;s;16;37793;40;37891;;;14.9;5;;;;;;;;;;;
2004;19;4004;2;V;s;24;38160;53;38242;;38285;23.7;6;;;;;;;;;;;
